"province_cn","year","cable_per_area"
"上海市","2018",73.8857315468357
"上海市","2017",69.730106472066
"上海市","2016",63.7099234358177
"上海市","2015",56.8279172149779
"上海市","2014",48.771138892212
"上海市","2013",38.0375284124895
"上海市","2012",31.8427395621486
"云南省","2018",3.9768034583727
"云南省","2017",2.84062048195915
"云南省","2016",2.38569339694039
"云南省","2015",2.07540831345613
"云南省","2014",1.53862487147234
"云南省","2013",1.40504011106878
"云南省","2012",1.27084705599891
"内蒙古自治区","2018",0.765018607611181
"内蒙古自治区","2017",0.860385727093607
"内蒙古自治区","2016",0.51174483783923
"内蒙古自治区","2015",0.406779883701339
"内蒙古自治区","2014",0.349054254957883
"内蒙古自治区","2013",0.308027418618436
"内蒙古自治区","2012",0.281291044339628
"北京市","2018",22.9806186760941
"北京市","2017",21.7493599902475
"北京市","2016",18.6918200658296
"北京市","2015",16.7902596610996
"北京市","2014",14.7289692795319
"北京市","2013",13.4073265878337
"北京市","2012",11.4418097037669
"吉林省","2018",4.56391240677399
"吉林省","2017",2.24764908316859
"吉林省","2016",2.15101829478771
"吉林省","2015",2.06102969634209
"吉林省","2014",1.6249518833485
"吉林省","2013",1.38735525779019
"吉林省","2012",1.27294217633707
"四川省","2018",5.71031385512923
"四川省","2017",5.15533259551218
"四川省","2016",3.90252213463453
"四川省","2015",3.32638549235162
"四川省","2014",2.76294725950185
"四川省","2013",2.20845250927762
"四川省","2012",1.71957098717179
"天津市","2018",19.9779533439624
"天津市","2017",17.1765847109172
"天津市","2016",15.4279063522699
"天津市","2015",13.7614332466225
"天津市","2014",12.4896274230091
"天津市","2013",10.929890073005
"天津市","2012",9.14286565410758
"宁夏回族自治区","2018",4.29866667951361
"宁夏回族自治区","2017",3.82743298710809
"宁夏回族自治区","2016",3.10978359316285
"宁夏回族自治区","2015",2.22948567244137
"宁夏回族自治区","2014",1.71298845701732
"宁夏回族自治区","2013",1.42690921704276
"宁夏回族自治区","2012",1.28717245100495
"安徽省","2018",15.420975024975
"安徽省","2017",12.8413771228771
"安徽省","2016",9.70548758384473
"安徽省","2015",6.9423619237905
"安徽省","2014",5.83158905380334
"安徽省","2013",5.07167760810618
"安徽省","2012",4.33207456828885
"山东省","2018",14.8194129866182
"山东省","2017",13.2780968454918
"山东省","2016",11.1882626455817
"山东省","2015",8.68691401574404
"山东省","2014",6.32959018625595
"山东省","2013",5.13899848639337
"山东省","2012",4.11631750273906
"山西省","2018",7.62503580135037
"山西省","2017",6.82687456125796
"山西省","2016",5.77389424242811
"山西省","2015",4.88633511595553
"山西省","2014",4.32308504256596
"山西省","2013",3.82815798542419
"山西省","2012",3.82684558832914
"广东省","2018",14.41046939707
"广东省","2017",13.4056949948791
"广东省","2016",11.6982738121744
"广东省","2015",9.16030168766977
"广东省","2014",7.48868582179276
"广东省","2013",6.68359364563388
"广东省","2012",5.87001530703122
"广西壮族自治区","2018",5.64074804508304
"广西壮族自治区","2017",4.60210878513169
"广西壮族自治区","2016",3.7431701640531
"广西壮族自治区","2015",2.74789975842361
"广西壮族自治区","2014",2.33646103212882
"广西壮族自治区","2013",2.12803001607704
"广西壮族自治区","2012",1.85626591921079
"新疆维吾尔自治区","2018",0.849707854632152
"新疆维吾尔自治区","2017",0.542627500252822
"新疆维吾尔自治区","2016",0.472708341888409
"新疆维吾尔自治区","2015",0.386899315696087
"新疆维吾尔自治区","2014",0.323183401416414
"新疆维吾尔自治区","2013",0.265155967969796
"新疆维吾尔自治区","2012",0.22718217561451
"江苏省","2018",32.9435346153846
"江苏省","2017",30.4729013133208
"江苏省","2016",27.5750257035647
"江苏省","2015",23.5604374296435
"江苏省","2014",19.5216553470919
"江苏省","2013",16.2822420262664
"江苏省","2012",14.7074742026266
"江西省","2018",10.620026836632
"江西省","2017",9.23004049456079
"江西省","2016",4.09410816121148
"江西省","2015",3.55306572578713
"江西省","2014",3.49858233095318
"江西省","2013",2.86704425648153
"江西省","2012",2.83107340537691
"河北省","2018",11.2412011986528
"河北省","2017",9.0931413190485
"河北省","2016",6.25832437879551
"河北省","2015",5.47129820467262
"河北省","2014",4.65887268291389
"河北省","2013",4.28653584025034
"河北省","2012",3.43442806757008
"河南省","2018",10.676539562005
"河南省","2017",10.5703871088468
"河南省","2016",10.4948995557273
"河南省","2015",7.43375295779409
"河南省","2014",6.19997947653081
"河南省","2013",5.06423423314661
"河南省","2012",3.82860633571567
"浙江省","2018",28.6353812105473
"浙江省","2017",26.3196311110269
"浙江省","2016",21.6854681250355
"浙江省","2015",19.6406555077436
"浙江省","2014",15.7050126059181
"浙江省","2013",10.96095103596
"浙江省","2012",9.64682321384566
"海南省","2018",7.25765045342127
"海南省","2017",6.63422122409529
"海南省","2016",5.6916451090201
"海南省","2015",4.34138783864457
"海南省","2014",3.40909486312079
"海南省","2013",2.99110498336982
"海南省","2012",2.42944765045342
"湖北省","2018",8.56558323518181
"湖北省","2017",7.64425821649268
"湖北省","2016",6.58126026557382
"湖北省","2015",5.00346144124085
"湖北省","2014",4.07278884783556
"湖北省","2013",3.5508225904473
"湖北省","2012",2.89132501868913
"湖南省","2018",9.4489002341434
"湖南省","2017",8.95994542948318
"湖南省","2016",6.06753582960403
"湖南省","2015",5.08104807492589
"湖南省","2014",4.41531321399573
"湖南省","2013",3.74318435015767
"湖南省","2012",2.98728842123152
"甘肃省","2018",1.94171793589409
"甘肃省","2017",1.70449168680102
"甘肃省","2016",1.40461026229839
"甘肃省","2015",1.13121998924602
"甘肃省","2014",1.01087560373712
"甘肃省","2013",0.914770750125033
"甘肃省","2012",0.702855157094924
"福建省","2018",12.487059805891
"福建省","2017",10.251061225807
"福建省","2016",8.27462698969754
"福建省","2015",6.71174480238159
"福建省","2014",5.95399085122347
"福建省","2013",5.2792660002743
"福建省","2012",4.59783204653452
"西藏自治区","2018",0.161491396111593
"西藏自治区","2017",0.134819067550943
"西藏自治区","2016",0.112598767747833
"西藏自治区","2015",0.100183914509283
"西藏自治区","2014",0.0844959236858764
"西藏自治区","2013",0.067472668607016
"西藏自治区","2012",0.0525252934438761
"贵州省","2018",6.00371399042584
"贵州省","2017",4.91866734053004
"贵州省","2016",4.4986365623882
"贵州省","2015",3.73062311540667
"贵州省","2014",2.61935757727188
"贵州省","2013",2.8322665091795
"贵州省","2012",1.9418724694632
"辽宁省","2018",9.1300173879053
"辽宁省","2017",7.91476812756522
"辽宁省","2016",6.97749600684733
"辽宁省","2015",5.19414661104334
"辽宁省","2014",4.27682879652781
"辽宁省","2013",3.52311782664663
"辽宁省","2012",2.97998887982801
"重庆市","2018",12.8611830189137
"重庆市","2017",11.2981887488771
"重庆市","2016",9.91833588268143
"重庆市","2015",7.94441207177022
"重庆市","2014",6.53892186855076
"重庆市","2013",5.3131182169131
"重庆市","2012",4.51949887100299
"陕西省","2018",5.91149987355562
"陕西省","2017",5.28510733182897
"陕西省","2016",4.35691509745944
"陕西省","2015",3.44461157257908
"陕西省","2014",2.8719220032681
"陕西省","2013",2.51060430689025
"陕西省","2012",1.81248968991946
"青海省","2018",0.414354127700256
"青海省","2017",0.301972821242322
"青海省","2016",0.257962009453855
"青海省","2015",0.209793625753072
"青海省","2014",0.182004171409624
"青海省","2013",0.156956679638325
"青海省","2012",0.13777990861943
"黑龙江省","2018",2.35083056008556
"黑龙江省","2017",2.39425197441983
"黑龙江省","2016",1.36044707847739
"黑龙江省","2015",1.21689228307899
"黑龙江省","2014",1.10112923113639
"黑龙江省","2013",0.959527818658323
"黑龙江省","2012",0.881124922105989
